Predicted Values	True Values
-0.046961	-0.009190
0.003312	-0.230869
-0.207760	-0.036914
0.126981	-0.023052
-0.210865	-0.009190
0.122855	-0.036914
-0.191740	-0.147753
0.010520	0.281743
0.111184	0.170904
-0.074763	-0.036914
0.045067	-0.203146
-0.191677	-0.064637
0.104553	-0.244731
-0.281517	-0.383293
0.021644	0.004671
-0.045999	0.226350
0.075953	0.420305
0.164950	-0.064637
-0.161907	-0.009190
0.216825	-0.120030
-0.293444	-0.258592
0.097438	0.046256
-0.115780	-0.078445
-0.052156	0.240211
0.154796	0.046256
-0.187606	0.087787
0.196337	-0.106168
-0.311318	-0.341708
0.059691	-0.009190
-0.107620	-0.217008
-0.135643	0.046256
0.144686	0.073926
-0.175131	0.351051
0.303633	0.018533
-0.275771	-0.424825
0.044448	0.087787
-0.010975	-0.078445
-0.158119	0.018533
0.144091	-0.064637
-0.247202	-0.120030
0.113193	0.073926
-0.138064	-0.175476
-0.074640	-0.009190
0.004228	0.475752
0.154434	-0.009190
-0.128338	-0.424825
-0.058256	0.073926
0.098285	-0.175476
-0.256222	-0.050775
0.183068	0.046256
-0.190141	0.101649
0.147218	0.157095
-0.099434	-0.092307
-0.026111	0.170904
0.052525	-0.078445
-0.207989	-0.092307
0.133347	-0.161614
-0.284392	-0.050775
0.172281	0.101649
-0.162990	0.046256
0.071130	0.281743
0.053856	-0.300124
-0.279963	-0.133891
0.237064	0.073926
-0.247669	-0.036914
0.119705	0.254073
-0.011279	0.018533
-0.069723	-0.078445
-0.007960	-0.064637
-0.130302	0.018533
0.059992	0.032394
-0.142741	0.101649
0.113496	-0.064637
-0.190965	-0.009190
0.089568	0.184765
-0.034632	-0.258592
-0.199268	0.046256
0.199288	0.240211
-0.108428	0.032394
0.052508	-0.078445
-0.137654	-0.078445
0.006653	-0.120030
-0.156797	-0.050775
0.024721	0.170904
0.016684	-0.133891
-0.187074	0.060064
0.192338	-0.064637
-0.264588	-0.064637
0.140779	0.101649
